,Unnamed: 0,image_file_name,item_radius,num_item,target_angle,target_x,target_y,iou_conv1_poolsize8,iou_conv2_poolsize8,iou_conv3_poolsize8,iou_conv4_poolsize8,iou_conv5_poolsize8
0,0,0000.png,20.0,3.0,1.5707963267948966,30.0,210.0,0.0,0.0,0.0,0.0,0.0
1,1,0001.png,20.0,4.0,1.5707963267948966,570.0,30.0,0.0,0.5304926037788391,0.5304926037788391,0.5304926037788391,0.0
2,2,0002.png,20.0,5.0,1.5707963267948966,570.0,570.0,0.0,0.5054311752319336,0.5054311752319336,0.5054311752319336,0.5054311752319336
3,3,0003.png,20.0,6.0,1.5707963267948966,210.0,30.0,0.0,0.5669447183609009,0.0,0.0,0.5669447183609009
4,4,0004.png,20.0,7.0,1.5707963267948966,330.0,450.0,0.0,0.5692721605300903,0.0,0.0,0.0
5,5,0005.png,20.0,8.0,1.5707963267948966,570.0,330.0,0.0,0.0,0.0,0.25273948907852173,0.25273948907852173
6,6,0006.png,20.0,3.0,1.9634954084936207,30.0,150.0,0.0,0.0,0.0,0.0,0.0
7,7,0007.png,20.0,4.0,1.9634954084936207,390.0,510.0,0.0,0.5212242007255554,0.5212242007255554,0.0,0.0
8,8,0008.png,20.0,5.0,1.9634954084936207,330.0,270.0,0.0,0.0,0.39047491550445557,0.0,0.0
9,9,0009.png,20.0,6.0,1.9634954084936207,450.0,90.0,0.0,0.0,0.0,0.0,0.0
10,10,0010.png,20.0,7.0,1.9634954084936207,510.0,150.0,0.0,0.6372093558311462,0.6372093558311462,0.0,0.0
11,11,0011.png,20.0,8.0,1.9634954084936207,150.0,570.0,0.0,0.0,0.6188451647758484,0.0,0.0
12,12,0012.png,20.0,3.0,2.3561944901923453,330.0,510.0,0.0,0.47600579261779785,0.0,0.0,0.0
13,13,0013.png,20.0,4.0,2.3561944901923453,30.0,210.0,0.0,0.0,0.0,0.0,0.0
14,14,0014.png,20.0,5.0,2.3561944901923453,30.0,90.0,0.0,0.0,0.0,0.0,0.0
15,15,0015.png,20.0,6.0,2.3561944901923453,90.0,570.0,0.0,0.0,0.0,0.6555313467979431,0.0
16,16,0016.png,20.0,7.0,2.3561944901923453,30.0,90.0,0.0,0.0,0.0,0.0,0.15154966711997986
17,17,0017.png,20.0,8.0,2.3561944901923453,270.0,210.0,0.0,0.0,0.0,0.0,0.0
18,18,0018.png,20.0,3.0,2.748893571891069,270.0,390.0,0.0,0.5698541402816772,0.5698541402816772,0.0,0.0
19,19,0019.png,20.0,4.0,2.748893571891069,390.0,330.0,0.0,0.044383399188518524,0.044383399188518524,0.044383399188518524,0.0
20,20,0020.png,20.0,5.0,2.748893571891069,90.0,570.0,0.0,0.6698821187019348,0.6698821187019348,0.0,0.0
21,21,0021.png,20.0,6.0,2.748893571891069,510.0,150.0,0.5850360989570618,0.5850360989570618,0.0,0.0,0.0
22,22,0022.png,20.0,7.0,2.748893571891069,390.0,570.0,0.05677168816328049,0.05677168816328049,0.05677168816328049,0.0,0.0
23,23,0023.png,20.0,8.0,2.748893571891069,150.0,570.0,0.6570956110954285,0.6570956110954285,0.0,0.0,0.0
24,24,0024.png,20.0,3.0,3.1415926535897927,270.0,30.0,0.0,0.5026453137397766,0.0,0.0,0.0
25,25,0025.png,20.0,4.0,3.1415926535897927,90.0,570.0,0.0,0.05843459442257881,0.0,0.0,0.0
26,26,0026.png,20.0,5.0,3.1415926535897927,450.0,270.0,0.0,0.5012718439102173,0.5012718439102173,0.0,0.0
